Level1,Level2,Level3,Level4,Citations
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.738
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,3.228
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,6.95
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.26
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,0.129
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,0.964
1999-2002,11,Multiagent Planning with Factored MDPs,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,6.186
2011-2014,12,Matrix reconstruction with the local max norm,Online Optimization for Max-Norm Regularization,0.07
2011-2014,13,Efficient Online Inference for Bayesian Nonparametric Relational Models,On the relations of LFPs & Neural Spike Trains,7.753
2005-2008,0,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,2.669
2008-2011,1,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,0.432
1993-1996,2,Improving Elevator Performance Using Reinforcement Learning,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1.06
1990-1993,3,HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,Bach in a Box - Real-Time Harmony,0.108
2014-2017,4,Combinatorial Bandits Revisited,Combinatorial semi-bandit with known covariance,0.055
1999-2002,5,Explaining Away in Weight Space,Dynamical Causal Learning,0.06
1999-2002,6,Convolution Kernels for Natural Language,Kernels for Structured Natural Language Data,5.041
2005-2008,7,Approximate inference using planar graph decomposition,Efficient Exact Inference in Planar Ising Models,0.06
2005-2008,7,Approximate inference using planar graph decomposition,Randomized Pruning: Efficiently Calculating Expectations in Large Dynamic Programs,0.06
2005-2008,7,Approximate inference using planar graph decomposition,MAP estimation in Binary MRFs via Bipartite Multi-cuts,67.179
2005-2008,7,Approximate inference using planar graph decomposition,Learning as MAP Inference in Discrete Graphical Models,67.179
2005-2008,7,Approximate inference using planar graph decomposition,Projecting Ising Model Parameters for Fast Mixing,3.633
2005-2008,7,Approximate inference using planar graph decomposition,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks,3.633
2011-2014,8,Multimodal Learning with Deep Boltzmann Machines,Expressing an Image Stream with a Sequence of Natural Sentences,0.184
2011-2014,9,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,0.342
2014-2017,10,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1.259
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,0.066
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Robust Parameter Estimation and Model Selection for Neural Network Regression,0.514
2014-2017,12,Active Learning from Weak and Strong Labelers,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,0.054
2014-2017,12,Active Learning from Weak and Strong Labelers,The Multi-fidelity Multi-armed Bandit,0.553
2008-2011,13,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,0
2008-2011,13,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,0.069
2008-2011,13,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.221
2008-2011,13,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.105
2008-2011,13,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,59.386
2011-2014,0,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,4.914
2011-2014,0,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1.081
2011-2014,0,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.053
2011-2014,0,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.066
2011-2014,0,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,0.264
2008-2011,1,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,0.428
2008-2011,1,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.139
2011-2014,2,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,13.716
2011-2014,2,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.759
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in continuous time Gaussian-Jump processes,0.188
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in latent Gaussian-Markov models from continuous time observations,1.917
2008-2011,4,Learning the context of a category,Inductive reasoning about chimeric creatures,0.057
1999-2002,5,Bayesian time series classification,Adaptive Classification by Variational Kalman Filtering,5.637
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,A Three Tiered Approach for Articulated Object Action Modeling and Recognition,0.765
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,Fundamental Limitations of Spectral Clustering,42.775
2011-2014,7,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,Deterministic Symmetric Positive Semidefinite Matrix Completion,0.573
2011-2014,8,On Lifting the Gibbs Sampling Algorithm,An Integer Polynomial Programming Based Framework for Lifted MAP Inference,5.282
2005-2008,9,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,0.08
2005-2008,9,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,0.945
2008-2011,10,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,0.421
2008-2011,10,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,0.074
1987-1990,11,Spoken Letter Recognition,Speech Recognition using SVMs,0.083
1990-1993,12,Spoken Letter Recognition,Speech Recognition using SVMs,0.158
1999-2002,13,Natural Language Grammar Induction Using a Constituent-Context Model,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,0.186
1999-2002,13,Natural Language Grammar Induction Using a Constituent-Context Model,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",0.074
2002-2005,0,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,0.253
2005-2008,1,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,2.501
2005-2008,2,The Tradeoffs of Large Scale Learning,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,3.716
2008-2011,3,Parallelized Stochastic Gradient Descent,Communication-Efficient Algorithms for Statistical Optimization,0.11
2011-2014,4,Parametric Task Learning,Joint quantile regression in vector-valued RKHSs,0.1
1999-2002,5,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,0
1999-2002,5,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,0.4
2002-2005,6,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,0.1
2002-2005,6,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,0.6
2005-2008,7,Learning to parse images of articulated bodies,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations,0.1
1999-2002,8,Products of Gaussians,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,0.416
1999-2002,9,Grouping and dimensionality reduction by locally linear embedding,Self-Tuning Spectral Clustering,5.949
1999-2002,9,Grouping and dimensionality reduction by locally linear embedding,Sparse Manifold Clustering and Embedding,0.604
1999-2002,10,Thin Junction Trees,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,0.104
2008-2011,11,Compositionality of optimal control laws,An Approximate Inference Approach to Temporal Optimization in Optimal Control,6.556
2008-2011,11,Compositionality of optimal control laws,Sample Efficient Path Integral Control under Uncertainty,0.64
2008-2011,12,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,0.173
2011-2014,13,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,2.836
2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Affine Independent Variational Inference,8.693
2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Probabilistic Inference with Generating Functions for Poisson Latent Variable Models,0.149
2011-2014,1,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Learning with a Wasserstein Loss,1.606
2002-2005,2,Adaptive Manifold Learning,MLLE: Modified Locally Linear Embedding Using Multiple Weights,0.081
1996-1999,3,Monte Carlo POMDPs,The Unscented Particle Filter,0.193
1996-1999,3,Monte Carlo POMDPs,Exponential Family PCA for Belief Compression in POMDPs,0.062
1996-1999,3,Monte Carlo POMDPs,Bayesian Policy Learning with Trans-Dimensional MCMC,0.399
1996-1999,3,Monte Carlo POMDPs,Random Sampling of States in Dynamic Programming,0.134
1996-1999,3,Monte Carlo POMDPs,Bayesian Model of Behaviour in Economic Games,0.102
1996-1999,3,Monte Carlo POMDPs,Bayes-Adaptive Simulation-based Search with Value Function Approximation,1.357
1999-2002,4,Monte Carlo POMDPs,The Unscented Particle Filter,0.214
1999-2002,4,Monte Carlo POMDPs,Exponential Family PCA for Belief Compression in POMDPs,0.316
1999-2002,4,Monte Carlo POMDPs,Bayesian Policy Learning with Trans-Dimensional MCMC,0.218
1999-2002,4,Monte Carlo POMDPs,Random Sampling of States in Dynamic Programming,0.185
1999-2002,4,Monte Carlo POMDPs,Bayesian Model of Behaviour in Economic Games,0.183
1999-2002,4,Monte Carlo POMDPs,Bayes-Adaptive Simulation-based Search with Value Function Approximation,1.314
1987-1990,5,Learning to Control an Unstable System with Forward Modeling,Fast Learning with Predictive Forward Models,0.062
2005-2008,6,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,2.365
2008-2011,7,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,0.08
2008-2011,8,Bilinear classifiers for visual recognition,Multilinear Subspace Regression: An Orthogonal Tensor Decomposition Approach,0.916
1990-1993,9,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,0.059
1993-1996,10,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,0.137
1996-1999,11,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,0.576
1999-2002,12,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,0.344
2014-2017,13,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing,Eliciting Categorical Data for Optimal Aggregation,0.054
2011-2014,0,Ensemble weighted kernel estimators for multivariate entropy estimation,Multivariate f-divergence Estimation With Confidence,0.1
1993-1996,1,A Mixture Model System for Medical and Machine Diagnosis,On Input Selection with Reversible Jump Markov Chain Monte Carlo Sampling,0.175
2014-2017,2,Composing graphical models with neural networks for structured representations and fast inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,0.061
2011-2014,3,ImageNet Classification with Deep Convolutional Neural Networks,Deep Networks with Internal Selective Attention through Feedback Connections,0.375
2011-2014,3,ImageNet Classification with Deep Convolutional Neural Networks,Weakly-supervised Discovery of Visual Pattern Configurations,1.484
2011-2014,3,ImageNet Classification with Deep Convolutional Neural Networks,Deep Joint Task Learning for Generic Object Extraction,0.276
2011-2014,3,ImageNet Classification with Deep Convolutional Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1.437
2011-2014,3,ImageNet Classification with Deep Convolutional Neural Networks,Preconditioned Spectral Descent for Deep Learning,0.202
2002-2005,4,Simplicial Mixtures of Markov Chains: Distributed Modelling of Dynamic User Profiles,The Infinite Markov Model,0.286
2005-2008,5,A recipe for optimizing a time-histogram,Bayesian binning beats approximate alternatives: estimating peri-stimulus time histograms,2.05
1999-2002,6,A Generalization of Principal Components Analysis to the Exponential Family,Generalized Nonnegative Matrix Approximations with Bregman Divergences,1.569
2002-2005,7,Robust design of biological experiments,Selecting Observations against Adversarial Objectives,10.852
2002-2005,7,Robust design of biological experiments,Active Learning by Querying Informative and Representative Examples,0.082
2005-2008,8,Robust design of biological experiments,Selecting Observations against Adversarial Objectives,0.071
2005-2008,8,Robust design of biological experiments,Active Learning by Querying Informative and Representative Examples,0.276
2011-2014,9,A quasi-Newton proximal splitting method,Proximal Newton-type methods for convex optimization,0.13
2005-2008,10,Spatial Latent Dirichlet Allocation,A ``Shape Aware'' Model for semi-supervised Learning of Objects and its Context,1.287
2014-2017,11,Global Optimality of Local Search for Low Rank Matrix Recovery,Matrix Completion has No Spurious Local Minimum,0.286
1999-2002,12,Incremental A*,Speeding up the Parti-Game Algorithm,0.083
1999-2002,12,Incremental A*,ARA*: Anytime A* with Provable Bounds on Sub-Optimality,0.135
2011-2014,13,Machine Teaching for Bayesian Learners in the Exponential Family,Optimal Teaching for Limited-Capacity Human Learners,0.652
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Optimal Reinforcement Learning for Gaussian Systems,0.717
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Multi-Task Bayesian Optimization,0.296
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Bayesian Nonlinear Support Vector Machines and Discriminative Factor Modeling,27.743
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,Unlocking neural population non-stationarities using hierarchical dynamics models,30.867
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,MCMC for Variationally Sparse Gaussian Processes,0.403
2008-2011,0,Slice sampling covariance hyperparameters of latent Gaussian models,MCMC for Variationally Sparse Gaussian Processes,0.364
2011-2014,1,Learning from Distributions via Support Measure Machines,Latent Support Measure Machines for Bag-of-Words Data Classification,0
2011-2014,1,Learning from Distributions via Support Measure Machines,Cross-Domain Matching for Bag-of-Words Data via Kernel Embeddings of Latent Distributions,0
2008-2011,2,Prediction strategies without loss,The Pareto Regret Frontier,0
2008-2011,2,Prediction strategies without loss,The Pareto Regret Frontier for Bandits,0.1
2011-2014,3,Prediction strategies without loss,The Pareto Regret Frontier,1.044
2011-2014,3,Prediction strategies without loss,The Pareto Regret Frontier for Bandits,7.034
1990-1993,4,Modeling Applications with the Focused Gamma Net,A Comparison of Discrete-Time Operator Models for Nonlinear System Identification,75.716
2008-2011,5,Algorithms and hardness results for parallel large margin learning,Accelerated Mini-Batch Stochastic Dual Coordinate Ascent,0.254
2011-2014,6,Algorithms and hardness results for parallel large margin learning,Accelerated Mini-Batch Stochastic Dual Coordinate Ascent,0.146
1987-1990,7,What Size Net Gives Valid Generalization?,Generalization and Parameter Estimation in Feedforward Nets: Some Experiments,7.427
2008-2011,8,Maximum Margin Multi-Label Structured Prediction,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,19.768
2011-2014,9,Maximum Margin Multi-Label Structured Prediction,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,0.191
2011-2014,10,Communication-Efficient Algorithms for Statistical Optimization,Online and Stochastic Gradient Methods for Non-decomposable Loss Functions,0
2011-2014,10,Communication-Efficient Algorithms for Statistical Optimization,Communication-Efficient Distributed Dual Coordinate Ascent,0
1987-1990,11,A self-organizing multiple-view representation of 3D objects,Plasticity Kernels and Temporal Statistics,16.9
2014-2017,12,Spatial Transformer Networks,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",9.4
2014-2017,12,Spatial Transformer Networks,Universal Correspondence Network,1.16
2011-2014,13,Bayesian active learning with localized priors for fast receptive field characterization,Bayesian inference for low rank spatiotemporal neural receptive fields,19.351
2011-2014,13,Bayesian active learning with localized priors for fast receptive field characterization,Fast Active Set Methods for Online Spike Inference from Calcium Imaging,19.351
2011-2014,0,Reflection methods for user-friendly submodular optimization,On the Convergence Rate of Decomposable Submodular Function Minimization,0.379
2011-2014,0,Reflection methods for user-friendly submodular optimization,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,0.521
2011-2014,0,Reflection methods for user-friendly submodular optimization,Cooperative Graphical Models,1.591
2002-2005,1,Gaussian Process Dynamical Models,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1.469
2002-2005,1,Gaussian Process Dynamical Models,Expectation Propagation in Gaussian Process Dynamical Systems,0.766
2005-2008,2,Gaussian Process Dynamical Models,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,73.742
2005-2008,2,Gaussian Process Dynamical Models,Expectation Propagation in Gaussian Process Dynamical Systems,0.1
2008-2011,3,Copula Processes,Heavy-Tailed Process Priors for Selective Shrinkage,5.5
1999-2002,4,Programmable Reinforcement Learning Agents,Bayesian Hierarchical Reinforcement Learning,5.2
1996-1999,5,Bayesian Transduction,The Kernel Gibbs Sampler,0
1999-2002,6,Bayesian Transduction,The Kernel Gibbs Sampler,0
2005-2008,7,Learning annotated hierarchies from relational data,Bayesian Agglomerative Clustering with Coalescents,27.5
2008-2011,8,Probabilistic amplitude and frequency demodulation,Tree-structured Gaussian Process Approximations,48.2
2008-2011,8,Probabilistic amplitude and frequency demodulation,Stochastic Expectation Propagation,0.183
2011-2014,9,Probabilistic amplitude and frequency demodulation,Tree-structured Gaussian Process Approximations,1.575
2011-2014,9,Probabilistic amplitude and frequency demodulation,Stochastic Expectation Propagation,0.168
1990-1993,10,Learning Global Direct Inverse Kinematics,Global Regularization of Inverse Kinematics for Redundant Manipulators,0.309
2002-2005,11,Bayesian inference in spiking neurons,Probabilistic Computation in Spiking Populations,0.147
2002-2005,11,Bayesian inference in spiking neurons,Sensory Adaptation within a Bayesian Framework for Perception,0.057
2011-2014,12,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,Training Very Deep Networks,0.106
2014-2017,13,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,Training Very Deep Networks,0.469
2011-2014,0,Proximal Newton-type methods for convex optimization,QUIC & DIRTY: A Quadratic Approximation Approach for Dirty Statistical Models,0.469
2011-2014,1,Robust Low Rank Kernel Embeddings of Multivariate Distributions,Kernel Mean Estimation via Spectral Filtering,0.554
2008-2011,2,Random Projections for ,Random Projection Trees Revisited,0.544
2008-2011,2,Random Projections for ,Quantized Random Projections and Non-Linear Estimation of Cosine Similarity,0.211
2008-2011,3,Learning to Hash with Binary Reconstructive Embeddings,Learning Image Descriptors with the Boosting-Trick,3.837
2011-2014,4,Structure estimation for discrete graphical models: Generalized covariance matrices and their inverses,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching,0.485
2011-2014,5,Tighten after Relax: Minimax-Optimal Sparse PCA in Polynomial Time,Principal Differences Analysis: Interpretable Characterization of Differences between Distributions,6.887
2014-2017,6,Tighten after Relax: Minimax-Optimal Sparse PCA in Polynomial Time,Principal Differences Analysis: Interpretable Characterization of Differences between Distributions,1.983
2011-2014,7,Learning optimal spike-based representations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.333
2011-2014,7,Learning optimal spike-based representations,Unsupervised learning of an efficient short-term memory network,0.074
2005-2008,8,Learnability and the doubling dimension,Near-optimal sample compression for nearest neighbors,4.984
2005-2008,8,Learnability and the doubling dimension,Improved Error Bounds for Tree Representations of Metric Spaces,2.061
2008-2011,9,Fast subtree kernels on graphs,Discriminative Clustering by Regularized Information Maximization,12.1
2008-2011,9,Fast subtree kernels on graphs,Halting in Random Walk Kernels,12.148
2008-2011,9,Fast subtree kernels on graphs,A Structural Smoothing Framework For Robust Graph Comparison,0.399
2005-2008,10,Clustering via LP-based Stabilities,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover,0.531
2008-2011,11,Clustering via LP-based Stabilities,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover,0.211
2011-2014,12,Probabilistic Principal Geodesic Analysis,A Locally Adaptive Normal Distribution,4.276
2005-2008,13,Online Prediction on Large Diameter Graphs,Label Selection on Graphs,0.15
2008-2011,0,Online Prediction on Large Diameter Graphs,Label Selection on Graphs,19.092
2002-2005,1,Intrinsically Motivated Reinforcement Learning,Reward Design via Online Gradient Ascent,0.26
2002-2005,2,Ideal Observers for Detecting Motion: Correspondence Noise,Model selection and velocity estimation using novel priors for motion patterns,9.22
2002-2005,2,Ideal Observers for Detecting Motion: Correspondence Noise,Functional form of motion priors in human motion perception,2.371
2005-2008,3,Ideal Observers for Detecting Motion: Correspondence Noise,Model selection and velocity estimation using novel priors for motion patterns,0.653
2005-2008,3,Ideal Observers for Detecting Motion: Correspondence Noise,Functional form of motion priors in human motion perception,0.808
2002-2005,4,Measure Based Regularization,Convergence of Laplacian Eigenmaps,0.076
2002-2005,4,Measure Based Regularization,Statistical Analysis of Semi-Supervised Learning: The Limit of Infinite Unlabelled Data,0.707
2002-2005,5,Newscast EM,Distributed Inference for Latent Dirichlet Allocation,1.204
2002-2005,5,Newscast EM,Asynchronous Distributed Learning of Topic Models,1.611
2002-2005,5,Newscast EM,Extending Gossip Algorithms to Distributed Estimation of U-statistics,0.331
2002-2005,6,Learning a Distance Metric from Relative Comparisons,Online Metric Learning and Fast Similarity Search,0.367
2011-2014,7,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,Recurrent linear models of simultaneously-recorded neural   populations,0.251
2011-2014,7,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,Robust learning of low-dimensional dynamics from large neural ensembles,1.005
1987-1990,8,An Analog Self-Organizing Neural Network Chip,A Reconfigurable Analog VLSI Neural Network Chip,0.198
1987-1990,8,An Analog Self-Organizing Neural Network Chip,The Effects of Circuit Integration on a Feature Map Vector Quantizer,0.953
2005-2008,9,Active learning for misspecified generalized linear models,Active Estimation of F-Measures,48.9
2005-2008,9,Active learning for misspecified generalized linear models,Agnostic Active Learning Without Constraints,53.3
1990-1993,10,Some Solutions to the Missing Feature Problem in Vision,Combining Estimators Using Non-Constant Weighting Functions,5.2
1990-1993,10,Some Solutions to the Missing Feature Problem in Vision,Efficient Methods for Dealing with Missing Data in Supervised Learning,1.3
2011-2014,11,Convex Deep Learning via Normalized Kernels,Tensor Switching Networks,52.615
2014-2017,12,Convex Deep Learning via Normalized Kernels,Tensor Switching Networks,23.045
1987-1990,13,An Efficient Implementation of the Back-propagation Algorithm on the Connection Machine CM-2,Back Propagation Implementation on the Adaptive Solutions CNAPS Neurocomputer Chip,0.075
2002-2005,0,"Learning vehicular dynamics, with application to modeling helicopters",Robust Value Function Approximation Using Bilinear Programming,0.355
2005-2008,1,"Learning vehicular dynamics, with application to modeling helicopters",Robust Value Function Approximation Using Bilinear Programming,0.139
2005-2008,2,Syntactic Topic Models,Construction of Dependent Dirichlet Processes based on Poisson Processes,3.202
2008-2011,3,Syntactic Topic Models,Construction of Dependent Dirichlet Processes based on Poisson Processes,3.915
2005-2008,4,New Outer Bounds on the Marginal Polytope,The Recurrent Temporal Restricted Boltzmann Machine,54.36
2005-2008,4,New Outer Bounds on the Marginal Polytope,MAP estimation in Binary MRFs via Bipartite Multi-cuts,0.17
2005-2008,4,New Outer Bounds on the Marginal Polytope,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,0.157
2011-2014,5,Pass-efficient unsupervised feature selection,Column Selection via Adaptive Sampling,1.045
2011-2014,6,A statistical model for tensor PCA,Online and Differentially-Private Tensor Decomposition,3.873
2014-2017,7,A statistical model for tensor PCA,Online and Differentially-Private Tensor Decomposition,3.338
1996-1999,8,Bayesian PCA,Automatic Choice of Dimensionality for PCA,0.722
1996-1999,8,Bayesian PCA,Heterogeneous Component Analysis,0.108
1996-1999,8,Bayesian PCA,Multi-Label Prediction via Sparse Infinite CCA,2.452
1996-1999,8,Bayesian PCA,Probabilistic Relational PCA,0.393
1996-1999,8,Bayesian PCA,Variational Gaussian-process factor analysis for modeling spatio-temporal data,7.17
1996-1999,8,Bayesian PCA,Nonnegative dictionary learning in the exponential noise model for adaptive music signal representation,3.286
1996-1999,8,Bayesian PCA,Global Solution of Fully-Observed Variational Bayesian Matrix Factorization is Column-Wise Independent,17.306
1996-1999,8,Bayesian PCA,Bayesian Spike-Triggered Covariance Analysis,0.068
1996-1999,8,Bayesian PCA,Perfect Dimensionality Recovery by Variational Bayesian PCA,13.5
1996-1999,8,Bayesian PCA,Probabilistic Principal Geodesic Analysis,6.4
1996-1999,8,Bayesian PCA,Analysis of Variational Bayesian Latent Dirichlet Allocation: Weaker Sparsity Than MAP,71.5
2008-2011,9,Learning To Count Objects in Images,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",0
1990-1993,10,Hierarchies of adaptive experts,Adaptively Growing Hierarchical Mixtures of Experts,0
1990-1993,10,Hierarchies of adaptive experts,Unsupervised Classification of 3D Objects from 2D Views,0.3
2005-2008,11,PG-means: learning the number of clusters in data,Dip-means: an incremental clustering method for estimating the number of clusters,0
1999-2002,12,Discriminative Direction for Kernel Classifiers,Discriminating Deformable Shape Classes,0.1
2011-2014,13,Phase Retrieval using Alternating Minimization,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,0.5
1999-2002,0,(Not) Bounding the True Error,PAC-Bayes & Margins,0
2011-2014,1,Extracting regions of interest from biological images with convolutional sparse block coding,Automatic Neuron Detection in Calcium Imaging Data Using Convolutional Networks,7.2
2002-2005,2,Gradient Flow Independent Component Analysis in Micropower VLSI,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis,0
2002-2005,2,Gradient Flow Independent Component Analysis in Micropower VLSI,Blind source separation for over-determined delayed mixtures,0.335
2005-2008,3,Gradient Flow Independent Component Analysis in Micropower VLSI,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis,3.452
2005-2008,3,Gradient Flow Independent Component Analysis in Micropower VLSI,Blind source separation for over-determined delayed mixtures,0.101
2008-2011,4,Multi-armed bandits on implicit metric spaces,Optimistic Optimization of a Deterministic Function without the Knowledge of its Smoothness,1.937
2011-2014,5,Multi-armed bandits on implicit metric spaces,Optimistic Optimization of a Deterministic Function without the Knowledge of its Smoothness,0.312
2002-2005,6,Bayesian models of human action understanding,Help or Hinder: Bayesian Models of Social Goal Inference,1.196
2005-2008,7,Bayesian models of human action understanding,Help or Hinder: Bayesian Models of Social Goal Inference,0.128
2005-2008,8,Ensemble Clustering using Semidefinite Programming,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,0.105
2014-2017,9,Bayesian dark knowledge,Bootstrap Model Aggregation for Distributed Statistical Learning,0.064
2014-2017,9,Bayesian dark knowledge,Bayesian Optimization with Robust Bayesian Neural Networks,0.086
2014-2017,9,Bayesian dark knowledge,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,0.331
2014-2017,9,Bayesian dark knowledge,Conditional Generative Moment-Matching Networks,0.527
2014-2017,9,Bayesian dark knowledge,Natural-Parameter Networks: A Class of Probabilistic Neural Networks,0.09
1993-1996,10,Hierarchical Mixtures of Experts Methodology Applied to Continuous Speech Recognition,Adaptively Growing Hierarchical Mixtures of Experts,0.715
2002-2005,11,A Hierarchical Compositional System for Rapid Object Detection,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",0.105
2005-2008,12,A Hierarchical Compositional System for Rapid Object Detection,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",0.2
1987-1990,13,Maximum Likelihood Competitive Learning,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,0.355
